iter	RMSE
0	0.3971181201
1	0.3948005743
2	0.39255024
3	0.3907113082
4	0.3889982189
5	0.3875191634
6	0.3861739201
7	0.3850132439
8	0.3839766305
9	0.383090429
10	0.3822028697
11	0.381453849
12	0.3807035594
13	0.3800835644
14	0.379509969
15	0.3789758932
16	0.3785341472
17	0.3781480854
18	0.3777242168
19	0.3773788752
20	0.3770914373
21	0.3767796508
22	0.3764225842
23	0.3760754733
24	0.3757495863
25	0.3753594537
26	0.3751188209
27	0.3748033697
28	0.3745793882
29	0.3743636934
30	0.3741345498
31	0.3739106495
32	0.3737117441
33	0.3735629695
34	0.3732356426
35	0.3730283585
36	0.3727784693
37	0.3726415961
38	0.3724580374
39	0.3722125346
40	0.3720903288
41	0.3720144585
42	0.3718518113
43	0.3716349246
44	0.3714458899
45	0.3713045897
46	0.3711357352
47	0.3710153857
48	0.3708446288
49	0.3707001523
50	0.3705550675
51	0.3704904423
52	0.3702559787
53	0.369999003
54	0.3698568482
55	0.3697392847
56	0.3694901405
57	0.3693358803
58	0.3691892009
59	0.3690107032
60	0.3688840046
61	0.3687171121
62	0.3686081765
63	0.368452055
64	0.3683541156
65	0.3680972517
66	0.3679033949
67	0.3677114245
68	0.3675964405
69	0.3674825709
70	0.3673626121
71	0.367255296
72	0.3670809512
73	0.3669870159
74	0.3669394039
75	0.3668544128
76	0.366761681
77	0.3666669117
78	0.3665605709
79	0.3664515207
80	0.3663480486
81	0.3662368509
82	0.366099688
83	0.3659914767
84	0.3659152446
85	0.3658194537
86	0.3657647543
87	0.3656433844
88	0.3655581116
89	0.3654460954
90	0.3652889168
91	0.3651888418
92	0.3651116892
93	0.365046664
94	0.3649597222
95	0.3648159377
96	0.3647643414
97	0.3645897409
98	0.3644477937
99	0.3644222289
100	0.3643362805
101	0.3642576127
102	0.364199059
103	0.3641050228
104	0.363969088
105	0.3639020136
106	0.3638409618
107	0.3638046452
108	0.3636965067
109	0.3635744052
110	0.3634411678
111	0.3633510509
112	0.3631970755
113	0.3631045072
114	0.3630569203
115	0.3630278533
116	0.3629281917
117	0.3627894612
118	0.3626639418
119	0.3625995574
120	0.3625439722
121	0.3624601231
122	0.3623678743
123	0.3622764057
124	0.3621871888
125	0.3620360594
126	0.3619302925
127	0.361852046
128	0.361748741
129	0.36172105
130	0.3615220751
131	0.3614614616
132	0.3613562989
133	0.361250484
134	0.3611567691
135	0.3610535786
136	0.3609693119
137	0.3609280235
138	0.3608056549
139	0.3607481036
140	0.3606447917
141	0.3605823699
142	0.360471783
143	0.3604058601
144	0.3602648776
145	0.3601706137
146	0.3601127191
147	0.3599481321
148	0.3598240044
149	0.3597138265
150	0.3596404701
151	0.3595480571
152	0.3594638274
153	0.3593573434
154	0.3593026678
155	0.3591551171
156	0.3590502186
157	0.358929094
158	0.3588442781
159	0.3586960136
160	0.3586141747
161	0.3585650659
162	0.3585052628
163	0.358473995
164	0.3584143805
165	0.3582542189
166	0.3581768285
167	0.358041469
168	0.3579329327
169	0.3578462911
170	0.3577816883
171	0.357714957
172	0.3576402057
173	0.3575368197
174	0.3574601885
175	0.3573891368
176	0.3573360704
177	0.3572536335
178	0.3571970805
179	0.3571472811
180	0.3570661123
181	0.3569876585
182	0.3568069772
183	0.3566984527
184	0.3566501968
185	0.3565887301
186	0.3565388784
187	0.3564900697
188	0.3563956529
189	0.3563501557
190	0.3562847272
191	0.3562413983
192	0.3561786544
193	0.3561195312
194	0.3560782513
195	0.3560207216
196	0.3559454347
197	0.3559058366
198	0.3558683477
199	0.3557725355
200	0.3557182256
201	0.3556320212
202	0.3555841191
203	0.355491728
204	0.3554173323
205	0.3553812819
206	0.3553309454
207	0.3552965169
208	0.3552338141
209	0.3551520676
210	0.3549713154
211	0.3549029829
212	0.3547910499
213	0.3547495227
214	0.3546867103
215	0.3545505544
216	0.3543791858
217	0.3542564017
218	0.3541869632
219	0.3541055528
220	0.3540655348
221	0.3539683385
222	0.3538651345
223	0.3537895348
224	0.3536332286
225	0.3535714468
226	0.3534885488
227	0.3534430721
228	0.3533751599
229	0.3533439369
230	0.3532702333
231	0.3531435525
232	0.3530164703
233	0.3529220348
234	0.3527714259
235	0.3525943014
236	0.3525290885
237	0.3524507061
238	0.352360408
239	0.352247469
240	0.3521582533
241	0.3521158943
242	0.3520085411
243	0.35195405
244	0.3518107333
245	0.3517265062
246	0.3516065352
247	0.3515339788
248	0.3514387355
249	0.3513822573
250	0.3512771258
251	0.3512050944
252	0.3511242623
253	0.3510959085
254	0.3510511623
255	0.3509452719
256	0.3508443534
257	0.3508172216
258	0.3507293103
259	0.3506238213
260	0.3505805981
261	0.3505181836
262	0.3504987214
263	0.350378602
264	0.3503111229
265	0.3501510238
266	0.3501092819
267	0.350035916
268	0.3499782761
269	0.3498960643
270	0.3498112637
271	0.3497614937
272	0.3496989962
273	0.3495703985
274	0.3495025837
275	0.3493947608
276	0.3492790123
277	0.3490959565
278	0.3490566584
279	0.3489893804
280	0.3489442186
281	0.3488642134
282	0.3487655277
283	0.3486753249
284	0.3485779365
285	0.348536521
286	0.3484312281
287	0.3483792821
288	0.3482937595
289	0.3482152708
290	0.3481149951
291	0.3480692576
292	0.3480390047
293	0.3479667011
294	0.3478923468
295	0.3478764955
296	0.34786119
297	0.3477509633
298	0.3476112381
299	0.3475582716
300	0.3474901061
301	0.347426201
302	0.3473767323
303	0.3472299573
304	0.3471465092
305	0.3471200185
306	0.3469626529
307	0.3469054226
308	0.3468743854
309	0.3467958813
310	0.3466804574
311	0.3466031828
312	0.3465491466
313	0.3464178717
314	0.3463727827
315	0.3463258917
316	0.3462368479
317	0.346193464
318	0.3461220747
319	0.3460481111
320	0.3459645898
321	0.3459247518
322	0.345849933
323	0.3457053946
324	0.3456155109
325	0.3455547253
326	0.3454942813
327	0.3453916922
328	0.3453373173
329	0.3452701139
330	0.3452028016
331	0.3451378557
332	0.3450161874
333	0.3449302315
334	0.3448559038
335	0.3447501354
336	0.3447188516
337	0.3446282091
338	0.3445420863
339	0.3444667813
340	0.3443778709
341	0.3443131386
342	0.3442498593
343	0.3441969827
344	0.3441540573
345	0.3440932656
346	0.3439267697
347	0.343863734
348	0.343758534
349	0.3437121742
350	0.3436682866
351	0.3435957187
352	0.3435595291
353	0.3434632022
354	0.3433382218
355	0.3432478742
356	0.3431779127
357	0.3430973647
358	0.343034093
359	0.3430060621
360	0.3429541435
361	0.3428824241
362	0.3428382467
363	0.3427408778
364	0.3426124114
365	0.3425446957
366	0.3424649127
367	0.3423838248
368	0.3423062371
369	0.3421590314
370	0.3420539961
371	0.34196458
372	0.3419036016
373	0.3418331744
374	0.3418089799
375	0.3417460818
376	0.3417042664
377	0.3416225651
378	0.3415574173
379	0.3414424111
380	0.3413621583
381	0.3412703094
382	0.341185282
383	0.3410963822
384	0.3410694916
385	0.3410008312
386	0.3409469164
387	0.3408269647
388	0.3407690394
389	0.3406885928
390	0.3406425171
391	0.340597058
392	0.3405466321
393	0.3404957652
394	0.3404427921
395	0.3403869985
396	0.3403462783
397	0.3402984374
398	0.3402446107
399	0.3401634743
400	0.3401039279
401	0.340047065
402	0.3399932453
403	0.3399267242
404	0.3398377909
405	0.3398031056
406	0.3396771663
407	0.3396300236
408	0.3395915543
409	0.3395205065
410	0.3394529502
411	0.3394085309
412	0.3392929841
413	0.339264487
414	0.3392106689
415	0.3391031117
416	0.3390048342
417	0.3388823218
418	0.3388291797
419	0.3387194241
420	0.3386593334
421	0.3385733263
422	0.3385276592
423	0.3383822576
424	0.3383455848
425	0.3383322314
426	0.3383282835
427	0.3383113013
428	0.3382417515
429	0.3381310647
430	0.3380719901
431	0.3379718436
432	0.3379218495
433	0.3377794155
434	0.3377672433
435	0.3376984322
436	0.3376254801
437	0.3375856926
438	0.3375408584
439	0.3374354371
440	0.3373829816
441	0.3373679044
442	0.3372657108
443	0.3372263407
444	0.3371345885
445	0.3371102648
446	0.3370518806
447	0.336943498
448	0.3368677483
449	0.3368420927
450	0.3367276154
451	0.3366372778
452	0.336597503
453	0.3364750648
454	0.3363993514
455	0.3363469487
456	0.3363297003
457	0.3363101495
458	0.336239673
459	0.3362208167
460	0.3361155363
461	0.3360499946
462	0.3359443832
463	0.3358536185
464	0.3357892596
465	0.3357282996
466	0.3356900012
467	0.3356338633
468	0.3355831804
469	0.3354860732
470	0.3354392413
471	0.3353631225
472	0.3353107004
473	0.3352464505
474	0.3351916694
475	0.3351355078
476	0.3350945539
477	0.3350360056
478	0.3349952047
479	0.3349764304
480	0.3349129864
481	0.3348880911
482	0.3348709734
483	0.3348103785
484	0.3347581328
485	0.3346678075
486	0.3346107136
487	0.3345415211
488	0.3344480049
489	0.3343584631
490	0.3343136344
491	0.3342717518
492	0.3342524584
493	0.3342213574
494	0.33412882
495	0.3341054393
496	0.334011025
497	0.3339573277
498	0.3339260299
499	0.3338646617
500	0.3337412657
501	0.33372972
502	0.3337012564
503	0.3336342865
504	0.3335517606
505	0.3335105123
506	0.3334625193
507	0.3334471487
508	0.3333773792
509	0.3333334825
510	0.3332458132
511	0.3331600768
512	0.3330793648
513	0.3329660139
514	0.3329164682
515	0.3328933302
516	0.3328240493
517	0.332766174
518	0.3327052202
519	0.332655642
520	0.3326219545
521	0.3325775397
522	0.3325139737
523	0.3324741643
524	0.3324280474
525	0.3323548862
526	0.3322692649
527	0.3322026576
528	0.3321402075
529	0.3319677308
530	0.331876335
531	0.3317893608
532	0.3317245856
533	0.3316266297
534	0.331569068
535	0.3314303516
536	0.3313678363
537	0.3313139765
538	0.3312599982
539	0.3311736227
540	0.3310705224
541	0.3310308712
542	0.3309529224
543	0.3308643356
544	0.3307859254
