,V1,N05B
1,NA,0.077106055
2,NA,0.059531839
3,NA,0.0463751
4,NA,0.028849279
5,NA,0.073792184
6,NA,0.073792184
7,NA,0.073792184
8,NA,0.073792184
9,NA,0.073792184
10,NA,0.073792184
11,NA,7.83E-06
12,NA,0.064749778
13,NA,0.128662814
14,NA,1.032526251
15,NA,1.573035491
16,NA,1.859097896
17,NA,1.739054897
18,NA,1.608646961
19,NA,0.951380743
20,NA,0.963540792
21,NA,0.81054838
22,NA,0.673475816
23,NA,0.688077745
24,NA,0.428285673
25,NA,0.093069322
26,NA,0.071856717
27,NA,0.055976138
28,NA,0.034821945
29,NA,0.081048313
30,NA,0.081048313
31,NA,0.081048313
32,NA,0.081048313
33,NA,0.081048313
34,NA,0.081048313
35,NA,8.60E-06
36,NA,0.07111675
37,NA,0.141314478
38,NA,1.134056562
39,NA,1.727715125
40,NA,2.041906601
41,NA,1.910059542
42,NA,1.76682834
43,NA,1.044931859
44,NA,1.058287629
45,NA,0.890251176
46,NA,0.739700001
47,NA,0.755737766
48,NA,0.470399834
49,NA,0.102221009
50,NA,0.078922527
51,NA,0.06148038
52,NA,0.038246055
53,NA,0.060788411
54,NA,0.060788411
55,NA,0.060788411
56,NA,0.060788411
57,NA,0.060788411
58,NA,0.060788411
59,NA,6.45E-06
60,NA,0.053339472
61,NA,0.105989653
62,NA,0.850572877
63,NA,1.295832742
64,NA,1.531484787
65,NA,1.432595951
66,NA,1.325168703
67,NA,0.783726956
68,NA,0.793744142
69,NA,0.66771229
70,NA,0.554794866
71,NA,0.56682362
72,NA,0.352812509
73,NA,0.076668502
74,NA,0.059194015
75,NA,0.046111936
76,NA,0.028685568
77,NA,0.076326353
78,NA,0.076326353
79,NA,0.076326353
80,NA,0.076326353
81,NA,0.076326353
82,NA,0.076326353
83,NA,8.10E-06
84,NA,0.066973413
85,NA,0.133081347
86,NA,1.067985232
87,NA,1.627056622
88,NA,1.922942972
89,NA,1.798777461
90,NA,1.66389106
91,NA,0.984053028
92,NA,0.996630677
93,NA,0.838384205
94,NA,0.6966043
95,NA,0.711707688
96,NA,0.442993845
97,NA,0.096265506
98,NA,0.074324418
99,NA,0.057898468
100,NA,0.0360178
101,NA,0.055556834
102,NA,0.055556834
103,NA,0.055556834
104,NA,0.055556834
105,NA,0.055556834
106,NA,0.055556834
107,NA,5.90E-06
108,NA,0.048748966
109,NA,0.096867962
110,NA,0.777370797
111,NA,1.184310666
112,NA,1.399682004
113,NA,1.309303748
114,NA,1.211121914
115,NA,0.716277776
116,NA,0.725432862
117,NA,0.610247574
118,NA,0.50704806
119,NA,0.518041594
120,NA,0.322448726
121,NA,0.07007025
122,NA,0.054099654
123,NA,0.042143446
124,NA,0.026216828
125,NA,0.033555925
126,NA,0.033555925
127,NA,0.033555925
128,NA,0.033555925
129,NA,0.033555925
130,NA,0.033555925
131,NA,3.56E-06
132,NA,0.029444022
133,NA,0.058507547
134,NA,0.469526328
135,NA,0.71531506
136,NA,0.845397787
137,NA,0.790809976
138,NA,0.73150886
139,NA,0.432626586
140,NA,0.438156191
141,NA,0.368585113
142,NA,0.306253354
143,NA,0.312893369
144,NA,0.194756694
145,NA,0.042321924
146,NA,0.032675799
147,NA,0.025454336
148,NA,0.015834774
149,NA,0.05077151
150,NA,0.05077151
151,NA,0.05077151
152,NA,0.05077151
153,NA,0.05077151
154,NA,0.05077151
155,NA,5.39E-06
156,NA,0.044550029
157,NA,0.088524352
158,NA,0.710412856
159,NA,1.082301428
160,NA,1.279122003
161,NA,1.196528375
162,NA,1.10680332
163,NA,0.654582013
164,NA,0.662948536
165,NA,0.557684601
166,NA,0.463374058
167,NA,0.473420677
168,NA,0.294674976
169,NA,0.06403483
170,NA,0.049439843
171,NA,0.038513469
172,NA,0.023958672
173,NA,0.061282736
174,NA,0.061282736
175,NA,0.061282736
176,NA,0.061282736
177,NA,0.061282736
178,NA,0.061282736
179,NA,6.50E-06
180,NA,0.053773223
181,NA,0.106851549
182,NA,0.857489639
183,NA,1.306370307
184,NA,1.543938648
185,NA,1.44424566
186,NA,1.335944826
187,NA,0.790100135
