"","V1","R06"
"1",NA,0.0284184637492643
"2",NA,0.0284269142638284
"3",NA,0.0179003986186936
"4",NA,0.0262836124750254
"5",NA,0.0258205939995341
"6",NA,0.0258205939995341
"7",NA,0.0258205939995341
"8",NA,0.0258205939995341
"9",NA,0.0258205939995341
"10",NA,0.0258205939995341
"11",NA,0.0258205940000517
"12",NA,0.0234004602120714
"13",NA,0.0251483212684912
"14",NA,0.104199939324113
"15",NA,0.111832061288053
"16",NA,0.107738627985762
"17",NA,0.111153683066044
"18",NA,0.109061025110744
"19",NA,0.10429350502711
"20",NA,0.105487344372155
"21",NA,0.104072456155051
"22",NA,0.105785880494026
"23",NA,0.108692793264759
"24",NA,0.10348464983692
"25",NA,0.0279178372172954
"26",NA,0.0279261388655506
"27",NA,0.0175850608664349
"28",NA,0.0258205939995341
"29",NA,0.0257922872353985
"30",NA,0.0257922872353985
"31",NA,0.0257922872353985
"32",NA,0.0257922872353985
"33",NA,0.0257922872353985
"34",NA,0.0257922872353985
"35",NA,0.0257922872359156
"36",NA,0.0233748066075146
"37",NA,0.0251207515077582
"38",NA,0.104085706355444
"39",NA,0.111709461328434
"40",NA,0.1076205156011
"41",NA,0.111031826803194
"42",NA,0.108941463000196
"43",NA,0.10417916948364
"44",NA,0.105371700038935
"45",NA,0.103958362944436
"46",NA,0.105669908879737
"47",NA,0.108573634841749
"48",NA,0.103371201030334
"49",NA,0.0278872312740975
"50",NA,0.0278955238213693
"51",NA,0.017565782604662
"52",NA,0.0257922872353985
"53",NA,0.0249194554270837
"54",NA,0.0249194554270837
"55",NA,0.0249194554270837
"56",NA,0.0249194554270837
"57",NA,0.0249194554270837
"58",NA,0.0249194554270837
"59",NA,0.0249194554275833
"60",NA,0.0225837842939818
"61",NA,0.024270645010237
"62",NA,0.100563362079855
"63",NA,0.107929123033994
"64",NA,0.103978550528884
"65",NA,0.107274420207779
"66",NA,0.105254796002302
"67",NA,0.10065366234039
"68",NA,0.101805836699604
"69",NA,0.100440328072612
"70",NA,0.10209395391265
"71",NA,0.104899415445488
"72",NA,0.0998730361913833
"73",NA,0.0269435048693893
"74",NA,0.0269515167901713
"75",NA,0.0169713423498927
"76",NA,0.0249194554270837
"77",NA,0.0257191953243227
"78",NA,0.0257191953243227
"79",NA,0.0257191953243227
"80",NA,0.0257191953243227
"81",NA,0.0257191953243227
"82",NA,0.0257191953243227
"83",NA,0.0257191953248383
"84",NA,0.0233085655149593
"85",NA,0.0250495626396052
"86",NA,0.103790741309352
"87",NA,0.111392891574878
"88",NA,0.107315533375814
"89",NA,0.110717177375742
"90",NA,0.108632737385697
"91",NA,0.103883939575475
"92",NA,0.10507309065781
"93",NA,0.103663758772632
"94",NA,0.105370454414426
"95",NA,0.108265951603321
"96",NA,0.103078260797288
"97",NA,0.0278082025702902
"98",NA,0.0278164716175861
"99",NA,0.0175160035134011
"100",NA,0.0257191953243227
"101",NA,0.0264993318205958
"102",NA,0.0264993318205958
"103",NA,0.0264993318205958
"104",NA,0.0264993318205958
"105",NA,0.0264993318205958
"106",NA,0.0264993318205958
"107",NA,0.0264993318211271
"108",NA,0.0240155807385965
"109",NA,0.0258093872680358
"110",NA,0.106939010306481
"111",NA,0.114771755456393
"112",NA,0.110570719362303
"113",NA,0.114075544919749
"114",NA,0.111927877923958
"115",NA,0.107035035541639
"116",NA,0.108260256965492
"117",NA,0.10680817602751
"118",NA,0.10856664061236
"119",NA,0.11154996648343
"120",NA,0.106204918229851
"121",NA,0.0286517046101976
"122",NA,0.0286602244812655
"123",NA,0.0180473138221933
"124",NA,0.0264993318205958
"125",NA,0.0267271773153504
"126",NA,0.0267271773153504
"127",NA,0.0267271773153504
"128",NA,0.0267271773153504
"129",NA,0.0267271773153504
"130",NA,0.0267271773153504
"131",NA,0.0267271773158863
"132",NA,0.0242220705441603
"133",NA,0.0260313005091398
"134",NA,0.107858489026805
"135",NA,0.115758581372716
"136",NA,0.111521424098144
"137",NA,0.115056384706488
"138",NA,0.112890251726251
"139",NA,0.107955339902299
"140",NA,0.109191095975984
"141",NA,0.107726529813771
"142",NA,0.109500113958467
