"","V1","N02BA"
"1",NA,0.0345840481563256
"2",NA,0.0327392585248326
"3",NA,0.0255957510976584
"4",NA,0.00870656230336128
"5",NA,0.0356220437756
"6",NA,0.0356220437756
"7",NA,0.0356220437756
"8",NA,0.0356220437756
"9",NA,0.0356220437756
"10",NA,0.0356220437756
"11",NA,0.0356220437800915
"12",NA,0.0379081609847416
"13",NA,0.042438252364248
"14",NA,0.237451177101613
"15",NA,0.252905898405538
"16",NA,0.241481769749588
"17",NA,0.228975024972125
"18",NA,0.22830690725278
"19",NA,0.202153787292963
"20",NA,0.195932730907581
"21",NA,0.188273158310371
"22",NA,0.202289527609283
"23",NA,0.225247132408479
"24",NA,0.187577945021935
"25",NA,0.0350398675970245
"26",NA,0.0331707635482535
"27",NA,0.0259331043449378
"28",NA,0.00882131521897108
"29",NA,0.0349029158197451
"30",NA,0.0349029158197451
"31",NA,0.0349029158197451
"32",NA,0.0349029158197451
"33",NA,0.0349029158197451
"34",NA,0.0349029158197451
"35",NA,0.034902915824146
"36",NA,0.0371428815277037
"37",NA,0.0415815206768411
"38",NA,0.23265757848947
"39",NA,0.247800304159186
"40",NA,0.236606802649155
"41",NA,0.224352540572092
"42",NA,0.22369791062826
"43",NA,0.198072762612288
"44",NA,0.191977295190579
"45",NA,0.184472351923995
"46",NA,0.198205762640689
"47",NA,0.220699905671252
"48",NA,0.183791173408918
"49",NA,0.0343324924526558
"50",NA,0.032501121358859
"51",NA,0.0254095740154029
"52",NA,0.00864323294998809
"53",NA,0.033472816557838
"54",NA,0.033472816557838
"55",NA,0.033472816557838
"56",NA,0.033472816557838
"57",NA,0.033472816557838
"58",NA,0.033472816557838
"59",NA,0.0334728165620585
"60",NA,0.0356210027330437
"61",NA,0.0398777747108583
"62",NA,0.223124752263912
"63",NA,0.237647025450078
"64",NA,0.226912162362416
"65",NA,0.21516000192185
"66",NA,0.21453219454506
"67",NA,0.189957001938348
"68",NA,0.184111287961474
"69",NA,0.176913849485653
"70",NA,0.190084552472402
"71",NA,0.211657028742761
"72",NA,0.176260581329031
"73",NA,0.0329257655084215
"74",NA,0.031169432341629
"75",NA,0.0243684514561167
"76",NA,0.00828908829553843
"77",NA,0.0344774869791325
"78",NA,0.0344774869791325
"79",NA,0.0344774869791325
"80",NA,0.0344774869791325
"81",NA,0.0344774869791325
"82",NA,0.0344774869791325
"83",NA,0.0344774869834797
"84",NA,0.0366901499247926
"85",NA,0.04107468685746
"86",NA,0.229821733931734
"87",NA,0.244779886133186
"88",NA,0.23372282131499
"89",NA,0.221617925455206
"90",NA,0.220971274743237
"91",NA,0.195658469600487
"92",NA,0.189637299342133
"93",NA,0.182223833226892
"94",NA,0.195789848502213
"95",NA,0.218009812228115
"96",NA,0.181550957542083
"97",NA,0.0339140164566986
"98",NA,0.0321049677982304
"99",NA,0.0250998587563781
"100",NA,0.00853788127702046
"101",NA,0.0360481998290624
"102",NA,0.0360481998290624
"103",NA,0.0360481998290624
"104",NA,0.0360481998290624
"105",NA,0.0360481998290624
"106",NA,0.0360481998290624
"107",NA,0.0360481998336077
"108",NA,0.0383616664708682
"109",NA,0.0429459525472392
"110",NA,0.240291869150645
"111",NA,0.255931479426122
"112",NA,0.244370680858336
"113",NA,0.231714314542322
"114",NA,0.231038203951699
"115",NA,0.20457220721092
"116",NA,0.198276726661269
"117",NA,0.190525520544944
"118",NA,0.204709571425011
"119",NA,0.227941824201168
"120",NA,0.189821990233678
"121",NA,0.0354590589208873
"122",NA,0.0335675942796149
"123",NA,0.0262433490201531
"124",NA,0.00892684697632183
"125",NA,0.0325592260062037
"126",NA,0.0325592260062037
"127",NA,0.0325592260062037
"128",NA,0.0325592260062037
"129",NA,0.0325592260062037
"130",NA,0.0325592260062037
"131",NA,0.0325592260103091
"132",NA,0.0346487806470887
"133",NA,0.0387893703893071
"134",NA,0.217034895285435
"135",NA,0.231160804707344
"136",NA,0.220718933680061
"137",NA,0.209287530912255
"138",NA,0.208676858600471
"139",NA,0.184772409184171
"140",NA,0.179086245242401
"141",NA,0.172085250103702
"142",NA,0.184896478416836
"143",NA,0.205880166156003
"144",NA,0.171449811926058
"145",NA,0.032027105898411
"146",NA,0.0303187092231273
"147",NA,0.0237033509567369
"148",NA,0.00806285000646642
"149",NA,0.0302679161073745
"150",NA,0.0302679161073745
"151",NA,0.0302679161073745
"152",NA,0.0302679161073745
"153",NA,0.0302679161073745
"154",NA,0.0302679161073745
"155",NA,0.030267916111191
"156",NA,0.0322104212688926
"157",NA,0.0360596228109883
"158",NA,0.201761368701476
"159",NA,0.214893187045108
"160",NA,0.205186148057216
"161",NA,0.194559214238222
"162",NA,0.19399151713453
"163",NA,0.171769309844109
"164",NA,0.166483301720651
"165",NA,0.159974991803029
"166",NA,0.171884647878407
"167",NA,0.191391638001312
"168",NA,0.159384271696578
"169",NA,0.0297732432064079
"170",NA,0.0281850725528503
"171",NA,0.0220352608531133
"172",NA,0.00749543823724712
"173",NA,0.0306668487172535
"174",NA,0.0306668487172535
"175",NA,0.0306668487172535
"176",NA,0.0306668487172535
"177",NA,0.0306668487172535
"178",NA,0.0306668487172535
"179",NA,0.0306668487211203
"180",NA,0.032634956191499
"181",NA,0.036534890397571
"182",NA,0.204420593376981
"183",NA,0.217725489726567
"184",NA,0.20789051149159
"185",NA,0.19712351416679
"186",NA,0.196548334787596
"187",NA,0.174033237721738
"188",NA,0.168677559753516
"189",NA,0.162083469993895
"190",NA,0.174150095916951
"191",NA,0.193914189120656
"192",NA,0.161484964167643
"193",NA,0.0301656560033365
"194",NA,0.0285565531831404
"195",NA,0.0223256866653929
"196",NA,0.00759422847862231
"197",NA,0.0300477548671231
"198",NA,0.0300477548671231
"199",NA,0.0300477548671231
"200",NA,0.0300477548671231
"201",NA,0.0300477548671231
"202",NA,0.0300477548671231
"203",NA,0.0300477548709118
"204",NA,0.0319761307326554
"205",NA,0.0357973341468827
"206",NA,0.200293807042769
"207",NA,0.21333010782903
"208",NA,0.203693675411315
"209",NA,0.193144039247084
"210",NA,0.192580471429927
"211",NA,0.170519902909114
"212",NA,0.165272343884706
"213",NA,0.158811373783222
"214",NA,0.17063440200344
"215",NA,0.189999503166306
"216",NA,0.158224950426861
"217",NA,0.0295566800929324
"218",NA,0.0279800613949034
"219",NA,0.0218749818850643
"220",NA,0.00744091829696824
"221",NA,0.0288165891880331
"222",NA,0.0288165891880331
"223",NA,0.0288165891880331
"224",NA,0.0288165891880331
"225",NA,0.0288165891880331
"226",NA,0.0288165891880331
"227",NA,0.0288165891916666
"228",NA,0.030665952488649
"229",NA,0.0343305873167299
"230",NA,0.192087042109555
"231",NA,0.204589198292289
"232",NA,0.195347605519467
"233",NA,0.185230226275253
"234",NA,0.184689749878983
"235",NA,0.163533082995551
"236",NA,0.158500535528526
"237",NA,0.152304294844523
"238",NA,0.163642890646013
"239",NA,0.182214533261667
"240",NA,0.151741899383523
"241",NA,0.0283456355313942
"242",NA,0.0268336166292105
"243",NA,0.0209786844063773
"244",NA,0.00713603684180954
"245",NA,0.029681505193825
"246",NA,0.029681505193825
"247",NA,0.029681505193825
"248",NA,0.029681505193825
"249",NA,0.029681505193825
"250",NA,0.029681505193825
"251",NA,0.0296815051975675
"252",NA,0.0315863762406488
"253",NA,0.0353610033130411
"254",NA,0.197852441898603
"255",NA,0.210729844260502
"256",NA,0.201210869544381
"257",NA,0.190789822048942
"258",NA,0.190233123514693
"259",NA,0.168441449493627
"260",NA,0.163257852545148
"261",NA,0.156875634689857
"262",NA,0.168554552967679
"263",NA,0.187683614466162
"264",NA,0.156296359200738
"265",NA,0.0291964160906572
"266",NA,0.027639014671444
"267",NA,0.0216083494859304
"268",NA,0.00735022154084273
"269",NA,0.0310337244446486
"270",NA,0.0310337244446486
"271",NA,0.0310337244446486
"272",NA,0.0310337244446486
"273",NA,0.0310337244446486
"274",NA,0.0310337244446486
"275",NA,0.0310337244485616
"276",NA,0.0330253769158992
"277",NA,0.0369719670797398
"278",NA,0.206866131703438
"279",NA,0.220330198092672
"280",NA,0.210377561378105
"281",NA,0.19948175557964
"282",NA,0.198899695175432
"283",NA,0.176115243971182
"284",NA,0.170695494592546
"285",NA,0.164022517970457
"286",NA,0.176233500172293
"287",NA,0.196234036518144
"288",NA,0.163416852058655
"289",NA,0.0305265358280166
"290",NA,0.0288981828796755
"291",NA,0.022592774836417
"292",NA,0.00768508026854006
"293",NA,0.0280300834105159
"294",NA,0.0280300834105159
"295",NA,0.0280300834105159
"296",NA,0.0280300834105159
"297",NA,0.0280300834105159
"298",NA,0.0280300834105159
"299",NA,0.0280300834140501
"300",NA,0.029828971101018
"301",NA,0.0333935851929192
"302",NA,0.186844313089144
"303",NA,0.199005241585111
"304",NA,0.19001588428894
"305",NA,0.180174643805527
"306",NA,0.179648918905539
"307",NA,0.159069691656904
"308",NA,0.154174500059189
"309",NA,0.14814737651341
"310",NA,0.159176502271494
"311",NA,0.177241259630192
"312",NA,0.147600330796837
"313",NA,0.0275719837307815
"314",NA,0.0261012331270256
"315",NA,0.0204061025375564
"316",NA,0.00694126937061313
"317",NA,0.032507808659788
"318",NA,0.032507808659788
"319",NA,0.032507808659788
"320",NA,0.032507808659788
"321",NA,0.032507808659788
"322",NA,0.032507808659788
"323",NA,0.0325078086638869
"324",NA,0.0345940634877474
"325",NA,0.0387281144339544
"326",NA,0.216692155000605
"327",NA,0.230795756865877
"328",NA,0.220370375582539
"329",NA,0.208957025221629
"330",NA,0.208347317280122
"331",NA,0.18448061763577
"332",NA,0.178803433252086
"333",NA,0.171813494045498
"334",NA,0.184604490939001
"335",NA,0.205555041356619
"336",NA,0.171179059348247
"337",NA,0.0319765288730739
"338",NA,0.0302708300882024
"339",NA,0.0236659187583449
"340",NA,0.0080501171991263
"341",NA,0.0329362631627042
"342",NA,0.0329362631627042
"343",NA,0.0329362631627042
"344",NA,0.0329362631627042
"345",NA,0.0329362631627042
"346",NA,0.0329362631627042
"347",NA,0.0329362631668571
"348",NA,0.0350500149310026
"349",NA,0.0392385528702188
"350",NA,0.21954816816742
"351",NA,0.233837656192837
"352",NA,0.223274867875939
"353",NA,0.211711089000863
"354",NA,0.211093345078963
"355",NA,0.186912081169779
"356",NA,0.181160071219151
"357",NA,0.174078004273056
"358",NA,0.187037587129186
"359",NA,0.208264266822663
"360",NA,0.173435207695565
"361",NA,0.032397981082501
"362",NA,0.0306698011044907
"363",NA,0.0239778367213113
"364",NA,0.00815621813626008
"365",NA,0.0322713550021591
"366",NA,0.0322713550021591
"367",NA,0.0322713550021591
"368",NA,0.0322713550021591
"369",NA,0.0322713550021591
"370",NA,0.0322713550021591
"371",NA,0.0322713550062281
"372",NA,0.0343424349350654
"373",NA,0.0384464158301877
"374",NA,0.215115990542225
"375",NA,0.229117006340202
"376",NA,0.218767456668967
"377",NA,0.207437124159764
"378",NA,0.206831851081104
"379",NA,0.183138751831829
"380",NA,0.17750286186533
"381",NA,0.170563765725689
"382",NA,0.183261724111681
"383",NA,0.204059885473259
"384",NA,0.169933945747513
"385",NA,0.0317439396115385
"386",NA,0.0300506476523843
